"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 16:11:42 MSK 2020","Thu Sep 10 16:11:45 MSK 2020","3164","tests","test_edit_group","","","","test_edit_group",""
"passed","Thu Sep 10 16:10:23 MSK 2020","Thu Sep 10 16:10:35 MSK 2020","11910","tests","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Thu Sep 10 16:11:11 MSK 2020","Thu Sep 10 16:11:19 MSK 2020","8826","tests","test_delete_contact","","","","test_delete_contact",""
"passed","Thu Sep 10 16:10:36 MSK 2020","Thu Sep 10 16:10:37 MSK 2020","1526","tests","test_add_group","","","","test_add_group[None:testname:testheader:testfooter]",""
"passed","Thu Sep 10 16:11:25 MSK 2020","Thu Sep 10 16:11:40 MSK 2020","15337","tests","test_edit_contact","","","","test_edit_contact",""
"passed","Thu Sep 10 16:11:08 MSK 2020","Thu Sep 10 16:11:09 MSK 2020","543","tests","test_db_matches_ui","","","","test_group_list",""
"passed","Thu Sep 10 16:10:49 MSK 2020","Thu Sep 10 16:10:53 MSK 2020","3506","tests","test_compare_contact_data","","","","test_compare_home_edit_user_page",""
"failed","Thu Sep 10 16:10:39 MSK 2020","Thu Sep 10 16:10:42 MSK 2020","3140","tests","test_add_group","","","","test_add_group[None:name{_<_V_._9_O_7_ :headerI_;_*_I_H_$_ _e_4_?_N_v_}:footer _`_+_T_&_-_o_$_c_!_""_~_ _;]",""
"passed","Thu Sep 10 16:10:44 MSK 2020","Thu Sep 10 16:10:47 MSK 2020","3165","tests","test_add_group","","","","test_add_group[None:name:header""_S_q_;_G_h_^_ _R_>_]_<:footerh_;_L_M_[_*_n_s_,_B_e]",""
"passed","Thu Sep 10 16:11:00 MSK 2020","Thu Sep 10 16:11:00 MSK 2020","3","tests","test_compare_contact_data_db","","","","test_compare_contact_home_db",""
"passed","Thu Sep 10 16:11:22 MSK 2020","Thu Sep 10 16:11:23 MSK 2020","1066","tests","test_delete_group","","","","test_delete_some_group",""
"passed","Thu Sep 10 16:10:08 MSK 2020","Thu Sep 10 16:10:14 MSK 2020","5192","tests","test_add_contact","","","","test_add_contact[None:firstnameA_x_R_m_v_q_G_G_J_T_z_3:lastnameq:None:None:addressH_W_P_3_X_Q]",""
"passed","Thu Sep 10 16:10:01 MSK 2020","Thu Sep 10 16:10:07 MSK 2020","5315","tests","test_add_contact","","","","test_add_contact[None:firstnameL_3_w_r_v_m_W:lastname3_4_Q_p:None:None:addressw]",""
"passed","Thu Sep 10 16:10:15 MSK 2020","Thu Sep 10 16:10:21 MSK 2020","5305","tests","test_add_contact","","","","test_add_contact[None:firstnamev_Y_u:lastnameR_F_3_x_w_X_a_1_K_k_G_A_R_W:None:None:addressS_A_p_p_F_a_g_2_I_P_h_4_G]",""
